id,fid,username,display_name,pfp_url,custody_address,verified_addresses,neynar_score,follower_count,following_count,is_pro_subscriber,power_badge,stats_fetched_at,created_at,updated_at,onboarding_tasks,onboarding_completed_at,quotient_score,quotient_rank,quotient_labels,quotient_updated_at,bio,url,location,twitter,github,primary_address,spam_label,fc_created_at,steemhunt_fetched_at,x_followers_count,x_following_count,x_verified,x_display_name,x_stats_fetched_at,is_blacklisted,plotlink_score,plotlink_tag
204b0efe-79a2-4413-a832-af047450e885,780900,afrochicks,Naomi,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/26d6fa5c-2dd8-4e6c-f788-58afe3133b00/rectcrop3,,"[""0x7dc30156dce3c6e909a9f5e5fd56aec936361209"",""0x41632afbaa7baef9464ec96244e5da58adb0af03"",""0x723343ca5910887914f06323f414dadd128c4af8""]",1.00,18024,1055,true,false,2026-01-23 13:22:40.114+00,2026-01-23 13:22:40.188478+00,2026-02-24 16:27:22.09005+00,{},,0.9530,13,"[""Top Trader"",""Top Clanker Ecosystem Evangelist""]",2026-01-23 13:22:40.114+00,hi im naomi i’m an athlete (11x british triple jump champion) and creator!,https://portrait.so/naomi,,afrochicksnft,,0x723343ca5910887914f06323f414dadd128c4af8,2,2025-07-16 13:32:52.858+00,2026-01-25 06:55:11.093+00,9933,1146,true,Naomi Metzger,2026-02-24 16:27:22.042+00,false,73,Writer
9098bc97-22cc-4935-9ed1-6c73716184d5,403020,push-,Push,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/1d6bb063-b545-4416-66e0-c6ba29f64900/original,,"[""0xe697b1bcf17a0edc2df872de1c7258c7cc434745"",""0x2f05371f6b614ca142133c5ab4a8d6631a279fa7"",""0xa7eccf5c6a2b1be67a1d9f117927113cbe7106fa""]",0.99,7790,1124,true,false,2026-01-27 20:46:38.349+00,2026-01-27 20:46:38.430753+00,2026-02-24 15:30:28.408617+00,{},,0.7940,247,"[""Top Trader"",""Top Builder/Dev"",""Top Clanker Ecosystem Evangelist""]",2026-01-27 20:46:38.349+00,Just /keepushing • believer of /butterflyeffect         3D artist • Year 5 of everydays,https://linktr.ee/Push.gfx,,push_gfx,,0x2f05371f6b614ca142133c5ab4a8d6631a279fa7,2,2025-07-16 10:04:06.731+00,,20316,2205,true,Push- (on farcaster),2026-02-24 15:30:28.363+00,false,71,Writer
3862a2f7-ece7-466e-b8a9-c67a6e9e8253,309710,nomadicframe,nomadicframe 🙏,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/3ebb8dae-afe0-41f5-3dce-119cb5fdcc00/original,,"[""0x8ff803e8027f58aed562a8c22aacc061992647bd"",""0x255148be130862531729937152d82c51142a5d56"",""0x2d2034625c3623d962592b2466b6a70b14bdb33a"",""0xa036225142c4f464ac1c1e04ca663809b4cfc1bc""]",0.96,10448,2623,true,false,2026-03-04 09:50:05.347+00,2026-01-28 17:11:01.079085+00,2026-03-29 11:43:19.030856+00,{},,0.7690,400,"[""Top Trader"",""Top Clanker Ecosystem Evangelist""]",2026-03-04 09:50:05.347+00,"Nomadic spirit, unveiling the unseen and unnoticed · /fc · Sony World Photography Winner ‘22 🏆 · https://linktr.ee/Nomadic.Frame


Building $TYSM & HOWLERS",https://farcaster.xyz/miniapps/nUvYVEakjfKm/tysm,"geo:24.71,46.68",nomadic_frame,,0xa036225142c4f464ac1c1e04ca663809b4cfc1bc,2,2025-08-08 02:17:04.147+00,2026-03-29 11:43:18.949+00,10121,10492,true,Nomadic Frame,2026-03-19 12:13:39.223+00,false,70,Writer
1d3959e8-4a2c-4225-b9a0-0a9c277a522a,308220,odysseyheart,Odyssey Of The Heart 🧬,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/a32d780c-ea01-4394-aadc-8a3fb0581300/original,,"[""0x9095de52c39f22b324f0c565d5c6ef1236fc6bc6"",""0xff13f9b23a16a82c3ccdd29ece6af667eeb15834"",""0x0966a7d94f6b194685dd86ee42e4887b9453ea63"",""0xb2d64a76d0afb3f4c12c1b80d505336377d5bd98""]",0.99,2951,1424,true,false,2026-01-27 18:16:57.863+00,2026-01-27 18:16:57.964311+00,2026-02-24 15:22:30.147095+00,{},,0.7660,424,[],2026-01-27 18:16:57.863+00,"(He/they) 
Artist 

🌊

We are all living our modern Odyssey",https://bio.site/odysseyoftheheart,,odysseyheart,,0x0966a7d94f6b194685dd86ee42e4887b9453ea63,2,2025-07-16 15:33:44.511+00,,20104,6617,true,OdysseyOfTheHeart,2026-02-24 15:22:30.054+00,false,69,Writer
3fa90a27-62fa-4c9e-b9d4-d172fbc7bbe6,8942,to,to,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/9fbd69a2-3601-40fe-7adb-2fb635982c00/original,0x5f959fe5ac6fd5b4ea992a816ade32bbda9a6e2a,"[""0x041be0b39a80388364fe223dcd2b733d5a1144c4"",""0xadb5759959193519f43a0ef8a0a5ac0fcb6251d9"",""0xe0aa4171b2ece22b01a132f1877a02414003a27b"",""0x7f38697487289b3275871efec0aaee7fe093dcf3"",""0xedfe0a64a2bbe5f7e30a38bf648cff03dc336bdd"",""0x442c463eb4778c1a576d5b80927b429756723014""]",0.99,11816,1534,true,false,2026-01-30 00:58:18.324+00,2026-01-02 19:18:47.979564+00,2026-03-28 05:50:13.90064+00,{},,0.7800,328,"[""Top Trader"",""Top Builder/Dev"",""Top Clanker Ecosystem Evangelist""]",2026-01-30 00:58:18.324+00,working on @beeper,https://beep.works,"geo:34.05,-118.24",tonymfer,,0x442c463eb4778c1a576d5b80927b429756723014,2,2025-07-18 09:04:19.523+00,2026-01-30 00:58:18.324+00,2216,1366,true,tonymfer,2026-03-28 05:50:13.83+00,false,69,Writer
605a0782-64f2-4b8c-95e0-ef7c6e7b1180,267104,femmie,FeMMie,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/5b1bcf33-5290-4d19-7cca-122f5da6b600/original,,"[""0x9467b927697024ae0b66c8635d967db0acc3d96b"",""0x04dcef7d9227b1ba8769c781ec46d0f2248c28a6"",""0x92ec1fb36777ef2725ccb7318ed09e196489939e"",""0xc143cf8515b87ea88d8db8a9892639b5046cf81c""]",0.95,13029,999,true,false,2026-02-07 20:23:07.91+00,2026-01-21 09:46:55.472963+00,2026-02-24 15:18:20.577244+00,{},,0.7830,304,"[""Top Trader"",""Top Builder/Dev"",""Top Clanker Ecosystem Evangelist""]",2026-02-05 09:47:38.401+00,Embracing the Decentralized Revolution 🪙,https://femmie.xyz,,0xfemmie,,0xc143cf8515b87ea88d8db8a9892639b5046cf81c,2,2025-07-16 10:09:37.666+00,,2597,1562,true,FeMMie.sol,2026-02-24 15:18:20.535+00,false,69,Writer
81d08c1a-79d7-4ed4-bc93-a80e96fedd24,738574,kokocodes,kokocodes.base.eth 🌳,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d3c92edd-dca8-43f0-9ae4-3043f6828900/original,,"[""0xe2e65285945353f291c45f56cd8dba0273566927"",""0xdb2979fdf689571dd1627a633d69716d39d919dc"",""0x63526f05d9237da102bce72960e13ac4f2a3c3a9""]",0.97,6897,3398,true,false,2026-01-18 15:49:54.249+00,2026-01-18 15:49:54.323239+00,2026-02-24 16:27:17.481388+00,{},,0.7640,433,"[""Top Builder/Dev""]",2026-01-18 15:49:54.249+00,Ecosystem growth strategist @saigeworld  | bullish on @base | I build Families | Building @enb /enb | $ENB is all you need | Spacehost | Advisor🌳,https://farcaster.xyz/miniapps/0GzdUkFK2f7A/enb-bounty,,kokocodes,,0xdb2979fdf689571dd1627a633d69716d39d919dc,2,2025-07-16 15:43:46.598+00,,12834,4796,true,kokocodes.base.eth 🌳,2026-02-24 16:27:17.432+00,false,69,Writer
bc42ead3-d6d3-40a6-a956-37b0b89b680e,253127,bleu.eth,agusti,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/4a6c86d1-bd2d-45ad-3a4e-cd9f90d09a00/original,,"[""0xe9dadd9ded105d67e6cb7aadc48be0c2d45df652"",""0xc4239467a62edaad4a098235a6754579e6662566"",""0x38a0d87bdeac77ac859ac910a588cf80a05d854d"",""0x2e19f22c62456f90f3d05be54462a1847d353165""]",0.99,12771,2919,true,false,2026-01-22 09:30:38.28+00,2026-01-22 09:30:38.34228+00,2026-02-24 15:15:50.248717+00,{},,0.8540,91,"[""Top Trader"",""Top Builder/Dev"",""Top Clanker Ecosystem Evangelist""]",2026-01-22 09:30:38.28+00,"software engineer. exploring ai agents, decentralisation, internet culture. generative ai.

upcoming generative AI art mint [SOON] @arches

le $BLEU elefant dev",https://agustif.com,,bleuonbase,,0x38a0d87bdeac77ac859ac910a588cf80a05d854d,2,2025-07-16 10:54:38.396+00,,35556,21845,false,agusti,2026-02-24 15:15:50.203+00,false,69,Writer
17883686-6a69-46ce-857e-b15d6738107c,203751,thosmur,thosmur,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/07f21995-275f-4ac0-e171-27fbee605800/original,,"[""0xeffdc3b00bd81cec05a5965846831333ef81c308"",""0xf4441fb7905611d97178d7e9e2c86b8592ec9b82"",""0x5df0f96c5de9f03d5d1678656da0b4b5b0647ce1"",""0xd28fdbb3aa957c633bb5bb0fa6f0dffc3ab422e4"",""0x032e38397a71749c0c7f62119f71aa89263b4d16""]",0.98,5335,693,true,false,2026-01-21 08:12:29.664+00,2026-01-21 08:12:29.743274+00,2026-02-24 15:12:09.036811+00,{},,0.8180,149,"[""Top Trader"",""Top Clanker Ecosystem Evangelist""]",2026-01-21 08:12:29.664+00,full time guy,https://farcaster.xyz/miniapps/LyafYhddZUYI/byemoney,,thosmur,,0xeffdc3b00bd81cec05a5965846831333ef81c308,2,2025-07-16 11:28:21.984+00,,1926,221,true,thosmur,2026-02-24 15:12:08.979+00,false,68,Writer
9629d59f-b6a5-449b-9fbd-e175147fcc24,281676,anemale.eth,Anemale,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/0fe290ec-b8d3-4e62-6d51-1392373cd900/rectcrop3,,"[""0xe2125fd56b432a19946d61c158c3134fffe7050e"",""0x341bec84e4fa95b3c00efb6f4b1036aa6b2ac787"",""0x6ac93bbf6704c0bd6394f2adf058c553e4cd6f97"",""0x92fca73d63eb55cea5024a51f0435346b984cfb5"",""0x5d85e0403f815ce6b88fa7653ee84e46e5f59b95""]",0.99,7083,4347,true,false,2026-02-19 19:32:20.712+00,2026-02-19 19:32:20.791594+00,2026-02-24 15:19:15.892104+00,{},,0.7860,286,"[""Top Trader"",""Top Clanker Ecosystem Evangelist""]",2026-02-19 19:32:20.712+00,"Artist & builder of Anemale Generis
A living onchain system for world creation
Dad ×3 · Dog dad to Jungle",https://miniane.vercel.app,,anemalftm,,0x341bec84e4fa95b3c00efb6f4b1036aa6b2ac787,2,2025-07-16 11:15:43.721+00,2026-02-19 22:13:42.239+00,2165,3469,true,anemale,2026-02-24 15:19:15.843+00,false,68,Writer
